央视,#genre#
北京新闻,http://ivi.bupt.edu.cn/hls/btv9.m3u8
上海人文[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225673/index.m3u8
上海教育[1280*720],http://live.setv.sh.cn/slive/shedu02_1200k.m3u8
上海体育[1920*1080],http://39.134.39.39/PLTV/88888888/224/3221226178/index.m3u8
上海新闻[1920*1080],http://183.207.255.188/live/program/live/xwzhhd/4000000/mnf.m3u8
上海五星[1920*1080],http://183.207.255.188/live/program/live/ssty/4000000/mnf.m3u8
上海影视[1920*1080],http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
上海外语[1920*1080],http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8
上海都市[1920*1080],http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8
上海法制[736*540],http://183.207.255.188/live/program/live/fztd/1300000/mnf.m3u8
上海财经[982*540],http://183.207.255.188/live/program/live/dfcj/1300000/mnf.m3u8
上海戏曲[982*540],http://183.207.255.188/live/program/live/qcxj/1300000/mnf.m3u8
上海生活[1920*1080],http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8
上海纪实[1920*1080],http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8
甘肃都市蓝光[1920*1080],http://39.134.39.39/PLTV/88888888/224/3221226248/index.m3u8
甘肃公共蓝光[1920*1080],http://39.134.39.37/PLTV/88888888/224/3221226250/index.m3u8
甘肃经济蓝光[1920*1080],http://39.134.39.39/PLTV/88888888/224/3221226252/index.m3u8
甘肃文化影视蓝光[1920*1080],http://39.134.39.39/PLTV/88888888/224/3221226287/index.m3u8
兰州公共频道蓝光[1920*1080],http://39.134.39.39/PLTV/88888888/224/3221226244/index.m3u8
兰州生活经济蓝光[1920*1080],http://39.134.39.39/PLTV/88888888/224/3221226285/index.m3u8
兰州新闻综合蓝光[1920*1080],http://39.134.39.39/PLTV/88888888/224/3221226242/index.m3u8
兰州综艺体育蓝光[1920*1080],http://39.134.39.39/PLTV/88888888/224/3221226246/index.m3u8
浙江柯桥综合[1920*1080],http://live.scbtv.cn/hls/news/index.m3u8
浙江柯桥时尚台[1920*1080],http://live.scbtv.cn/hls/qfc/index.m3u8
浙江影视台[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
浙江教育台[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
浙江钱江台[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江休闲台[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江经济台[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江新闻台[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江留学世界台[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8
浙江舟山综合台[1024*576],http://live.wifizs.cn/xwzh/sd/live.m3u8
浙江舟山生活台[1024*576],http://live.wifizs.cn/ggsh/sd/live.m3u8
浙江绍兴综合台[720*576],http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
浙江绍兴影视台[720*576],http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
浙江绍兴公共台[720*576],http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
湖北黄冈新闻频道[1920*1080],http://huanggang.live.cjyun.org/video/s10120-xwzh.m3u8
湖北夷陵电视台[1280*720],http://yiling.live.cjyun.org/video/s10174-TC1T/index.m3u8
湖北襄阳综合[1280*720],http://xiangyang.live.cjyun.org/video/s10125-news_hd/index.m3u8
湖北孝感新闻综合[1024*576],http://xiaogan.live.cjyun.org/video/s10139-xg/index.m3u8
湖北孝感公共频道[1024*576],http://xiaogan.live.cjyun.org/video/s10139-shpd/index.m3u8
湖北鄂州新闻综合[1920*1080],http://ezhou.live.cjyun.org/video/s10098-EZ2T/index.m3u8
湖北鄂州公共频道[1920*1080],http://ezhou.live.cjyun.org/video/s10098-EZ1T/index.m3u8
湖北咸宁综合频道[1280*720],http://xianning.live.cjyun.org/video/s10140-XNTV-1/index.m3u8
湖北孝昌新闻党建[1920*1080],http://xiaochang.live.cjyun.org/video/s10128-xcxw/index.m3u8
